SIZE_PROBLEM;N_STEPS;;IDS_time;IDS_nodes;BFS_time;BFS_nodes;BFS_BI_time;BFS_BI_nodes;A_time;A_nodes;A Optimized_time;A Optimized_nodes
9;5;;4;44;4;91;1;23;6;11;3;17
9;5;;5;48;3;87;2;23;2;9;0;12
9;5;;6;58;3;64;3;16;2;12;0;12
9;5;;4;58;3;64;0;16;3;12;0;12
9;5;;3;44;6;91;0;23;2;15;0;14
9;5;;9;48;2;75;0;18;2;12;1;11
9;5;;10;42;4;84;1;20;3;13;1;14
9;5;;4;42;4;84;1;20;6;13;1;14
9;5;;6;56;3;65;0;16;2;15;2;14
9;5;;10;54;4;75;0;18;10;13;1;14
9;5;;4;42;5;93;1;23;1;11;0;17
9;5;;7;36;8;101;2;28;7;18;0;11
9;5;;7;48;12;87;1;23;1;9;1;12
9;5;;4;42;4;84;0;20;1;11;0;11
9;5;;4;60;3;61;0;16;1;11;2;11
9;5;;5;54;2;66;0;16;1;9;2;9
9;5;;2;36;5;101;0;28;5;18;0;11
9;5;;5;58;2;64;1;16;2;12;0;12
9;5;;4;54;3;75;1;18;2;13;1;14
9;5;;5;58;3;64;0;16;1;12;0;12
9;5;;3;42;2;93;0;23;0;11;0;17
9;5;;13;54;5;75;0;18;2;13;0;14
9;5;;4;48;4;87;1;23;1;9;1;12
9;5;;6;60;4;61;1;16;2;11;0;11
9;5;;6;42;5;84;0;20;1;11;0;11
9;5;;5;42;3;93;0;23;0;11;1;17
9;5;;7;60;5;61;0;16;3;12;1;12
9;5;;3;42;5;93;1;23;4;11;2;17
9;5;;7;60;3;61;0;16;2;12;0;12
9;5;;4;60;3;61;1;16;2;11;0;11
9;5;;6;60;5;61;0;16;0;12;0;12
9;5;;6;42;7;93;1;23;2;11;1;17
9;5;;3;36;5;101;1;28;1;12;1;12
9;5;;5;42;3;84;0;20;3;13;0;14
9;5;;6;48;3;87;1;23;0;9;1;12
9;5;;11;58;2;64;0;16;2;12;2;12
9;5;;2;34;6;103;1;28;3;12;2;15
9;5;;5;56;3;65;2;16;1;11;0;11
9;5;;6;48;7;75;1;18;4;18;0;11
9;5;;5;44;3;91;2;23;2;15;0;14
9;5;;7;42;7;84;2;20;3;13;1;14
9;5;;3;34;5;103;2;28;1;12;1;15
9;5;;3;48;3;87;2;23;1;9;0;12
9;5;;4;42;5;84;0;20;3;13;1;14
9;5;;5;54;5;75;1;18;2;11;1;14
9;5;;5;54;3;66;0;16;1;9;0;9
9;5;;6;56;1;65;0;16;3;15;0;14
9;5;;7;54;4;75;0;18;4;13;2;14
9;5;;6;60;1;61;0;16;1;11;1;11
9;5;;6;44;5;91;1;23;5;15;1;14
9;5;;2;34;5;103;0;28;1;12;1;15
9;5;;12;54;2;75;0;18;4;11;2;14
9;5;;4;54;2;66;0;16;0;9;0;9
9;5;;3;42;4;93;1;23;3;12;1;12
9;5;;5;42;7;84;0;20;1;11;0;11
9;5;;5;54;3;66;1;16;2;9;1;9
9;5;;9;42;4;84;0;20;1;11;1;11
9;5;;6;42;6;93;1;23;2;11;2;17
9;5;;3;42;3;93;0;23;1;12;0;12
9;5;;5;56;3;65;0;16;2;15;0;14
9;5;;5;42;4;84;0;20;1;13;0;14
9;5;;5;44;6;91;1;23;2;11;1;17
9;5;;5;48;6;75;1;18;4;18;0;11
9;5;;7;56;5;65;0;16;2;11;1;11
9;5;;4;60;2;61;0;16;1;12;2;12
9;5;;5;48;3;87;0;23;1;9;1;12
9;5;;4;56;2;65;0;16;1;15;1;14
9;5;;5;48;3;75;0;18;1;12;1;11
9;5;;6;42;6;84;1;20;2;11;0;11
9;5;;5;56;2;65;0;16;2;11;0;11
9;5;;4;44;3;91;1;23;3;15;0;14
9;5;;4;48;4;75;0;18;4;18;1;11
9;5;;2;34;3;103;0;28;1;12;0;15
9;5;;5;48;4;75;0;18;1;12;1;11
9;5;;2;36;5;101;0;28;3;18;1;11
9;5;;5;54;3;75;0;18;1;11;2;14
